TF	DF	WORD
8	4	periscop
8	4	acn
8	4	nerdnew
8	2	lingzhi
7	7	guarante
7	7	often
7	7	americalos_angel
7	7	catch
7	7	accraghana
7	7	sever
7	7	santiago
7	7	gear
7	7	highest
7	7	spiritu
7	7	dedic
7	7	total
7	7	zero
7	7	kolkataindia
7	7	83countries7continentstraveleradventurerandstorytellerchannelingafearofflyingintoaloveoftravelinginstagram
7	7	sarahgallo
7	7	r
7	7	longviewtx
7	7	adamsneakerwonk
7	7	geeksneakerheadmahistorianheathfitnessspoonietype1diabetesbipolarmultiplesclerosisaredefinedpurposehopingcop
7	7	joy
7	7	rather
